,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
70,514711,,0,0.0,,,0,31,0.0,1401/01
71,514711,18.7,0,0.0,5539.3,52896.02,31,31,100.0,1401/01
101,514702,24.41,0,0.0,45711.4,36801.9,31,31,100.0,1401/01
113,222222,,0,0.0,,0.0,31,31,100.0,1401/01
150,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/01
181,زندان مرکزی,2.57,0,0.0,283.4,266.515,31,31,100.0,1401/01
182,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/01
224,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/01
727,517048,14.39,0,0.0,43875.1,10594.9,31,31,100.0,1401/01
728,517048,,0,0.0,,,0,31,0.0,1401/01
736,222222,,0,0.0,,,0,31,0.0,1401/01
799,517227,16.07,0,0.0,3712.6,13343.36,31,31,100.0,1401/01
800,517227,16.9,0,0.0,2656.0,13319.87,31,31,100.0,1401/01
867,111111,6.32,0,0.0,915.7,268.31,31,31,100.0,1401/01
869,111111,8.08,0,0.0,67666.7,10846.6,31,31,100.0,1401/01
870,111111,7.43,0,0.0,122179.0,15459.0,31,31,100.0,1401/01
871,111111,3.05,0,0.0,68675.2,4959.32,31,31,100.0,1401/01
872,111111,3.05,0,0.0,53752.1,5091.54,31,31,100.0,1401/01
873,111111,0.57,0,0.0,2.7,8.082,31,31,100.0,1401/01
1025,541280,,0,0.0,,,0,31,0.0,1401/01
1026,541280,,0,0.0,,,0,31,0.0,1401/01
1070,516377,,0,0.0,,,0,31,0.0,1401/01
1102,516377,,0,0.0,,0.0,31,31,100.0,1401/01
1260,529179,23.6,0,0.0,920.9,78446.27,31,31,100.0,1401/01
1648,514564,,0,0.0,,,0,31,0.0,1401/01
1737,111111,,0,0.0,,,0,31,0.0,1401/01
1755,514564,6.96,15,48.39,569808.0,4081921.1,31,31,100.0,1401/01
2094,514702,,0,0.0,,,0,31,0.0,1401/01
2134,529179,,0,0.0,,,0,31,0.0,1401/01
2288,514711,,0,0.0,,,0,31,0.0,1401/02
2289,514711,19.35,0,0.0,26631.1,25085.16,31,31,100.0,1401/02
2319,514702,,0,0.0,3222.5,8867.9,12,31,38.71,1401/02
2331,222222,,0,0.0,,0.0,31,31,100.0,1401/02
2368,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/02
2399,زندان مرکزی,2.22,0,0.0,182.4,48.877,11,31,35.48,1401/02
2400,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/02
2442,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/02
2945,517048,14.21,0,0.0,51726.0,10821.8,31,31,100.0,1401/02
2946,517048,,0,0.0,,,0,31,0.0,1401/02
2954,222222,,0,0.0,,0.0,1,31,3.23,1401/02
3017,517227,16.34,0,0.0,3130.6,10383.64,31,31,100.0,1401/02
3018,517227,16.26,0,0.0,15799.7,10355.02,31,31,100.0,1401/02
3085,111111,6.59,0,0.0,587.3,317.429,31,31,100.0,1401/02
3087,111111,8.92,0,0.0,81256.8,14071.3,31,31,100.0,1401/02
3088,111111,8.1,0,0.0,164675.1,16845.7,31,31,100.0,1401/02
3089,111111,2.95,0,0.0,111902.4,4884.15,31,31,100.0,1401/02
3090,111111,2.84,0,0.0,89785.7,5434.76,31,31,100.0,1401/02
3091,111111,0.62,0,0.0,5986.3,18.205,31,31,100.0,1401/02
3243,541280,,0,0.0,,,0,31,0.0,1401/02
3244,541280,,0,0.0,,,0,31,0.0,1401/02
3288,516377,,0,0.0,,,0,31,0.0,1401/02
3320,516377,,0,0.0,,0.0,31,31,100.0,1401/02
3478,529179,23.01,0,0.0,4344.9,23644.23,31,31,100.0,1401/02
3866,514564,,0,0.0,,,0,31,0.0,1401/02
3955,111111,,0,0.0,,,0,31,0.0,1401/02
3973,514564,9.8,1,3.23,510631.8,356859.8,15,31,48.39,1401/02
4312,514702,,0,0.0,,,0,31,0.0,1401/02
4352,529179,,0,0.0,,,0,31,0.0,1401/02
4506,514711,,0,0.0,,,0,31,0.0,1401/03
4507,514711,18.32,1,3.23,13121.3,16617.65,31,31,100.0,1401/03
4537,514702,,0,0.0,473.8,19477.36,31,31,100.0,1401/03
4549,222222,,0,0.0,,0.0,31,31,100.0,1401/03
4586,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/03
4617,زندان مرکزی,1.79,0,0.0,1206.6,110.417,31,31,100.0,1401/03
4618,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/03
4660,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/03
5163,517048,14.0,0,0.0,65557.6,14669.0,31,31,100.0,1401/03
5164,517048,,0,0.0,,,0,31,0.0,1401/03
5172,222222,4.78,0,0.0,149.5,3075.988,8,31,25.81,1401/03
5235,517227,16.55,0,0.0,3520.7,22704.33,31,31,100.0,1401/03
5236,517227,16.56,0,0.0,4227.9,22752.8,31,31,100.0,1401/03
5303,111111,6.41,0,0.0,3182.6,327.816,31,31,100.0,1401/03
5305,111111,8.3,0,0.0,100399.9,13228.5,31,31,100.0,1401/03
5306,111111,9.01,0,0.0,173795.5,18306.9,31,31,100.0,1401/03
5307,111111,,0,0.0,0.0,199360.73,31,31,100.0,1401/03
5308,111111,3.04,0,0.0,111688.3,6405.9,31,31,100.0,1401/03
5309,111111,0.44,0,0.0,5677.8,135.055,31,31,100.0,1401/03
5461,541280,,0,0.0,,,0,31,0.0,1401/03
5462,541280,,0,0.0,,,0,31,0.0,1401/03
5506,516377,,0,0.0,,,0,31,0.0,1401/03
5538,516377,,0,0.0,,0.0,31,31,100.0,1401/03
5696,529179,22.34,0,0.0,9174.9,47924.7,31,31,100.0,1401/03
6084,514564,,0,0.0,,,0,31,0.0,1401/03
6173,111111,,0,0.0,,,0,31,0.0,1401/03
6191,514564,12.6,0,0.0,18354.7,33246.6,31,31,100.0,1401/03
6530,514702,,0,0.0,,,0,31,0.0,1401/03
6570,529179,,0,0.0,,,0,31,0.0,1401/03
6724,514711,,0,0.0,,,0,31,0.0,1401/04
6725,514711,18.84,0,0.0,8873.8,47079.97,31,31,100.0,1401/04
6755,514702,,0,0.0,,,25,31,80.65,1401/04
6767,222222,,0,0.0,,0.0,31,31,100.0,1401/04
6804,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/04
6835,زندان مرکزی,2.52,0,0.0,1025.0,210.507,31,31,100.0,1401/04
6836,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/04
6878,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/04
7381,517048,13.86,0,0.0,54847.4,18387.6,31,31,100.0,1401/04
7382,517048,,0,0.0,,,0,31,0.0,1401/04
7390,222222,4.55,0,0.0,6429.7,12173.712,31,31,100.0,1401/04
7453,517227,15.82,0,0.0,9972.6,30146.87,31,31,100.0,1401/04
7454,517227,16.03,0,0.0,6419.7,30088.8,31,31,100.0,1401/04
7521,111111,6.52,0,0.0,1150.4,320.878,31,31,100.0,1401/04
7523,111111,8.66,0,0.0,95877.7,14023.5,31,31,100.0,1401/04
7524,111111,9.94,0,0.0,146534.3,23455.2,31,31,100.0,1401/04
7525,111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/04
7526,111111,3.09,0,0.0,67932.2,6336.46,31,31,100.0,1401/04
7527,111111,0.9,0,0.0,27070.0,1341.484,31,31,100.0,1401/04
7679,541280,,0,0.0,,,0,31,0.0,1401/04
7680,541280,,0,0.0,,,0,31,0.0,1401/04
7724,516377,,0,0.0,,,0,31,0.0,1401/04
7756,516377,,0,0.0,,0.0,31,31,100.0,1401/04
7914,529179,22.38,0,0.0,24984.1,56109.6,31,31,100.0,1401/04
8302,514564,,0,0.0,,,0,31,0.0,1401/04
8391,111111,,0,0.0,,,0,31,0.0,1401/04
8409,514564,12.28,0,0.0,39069.3,29552.8,31,31,100.0,1401/04
8748,514702,,0,0.0,,,0,31,0.0,1401/04
8788,529179,,0,0.0,,,0,31,0.0,1401/04
8942,514711,,0,0.0,,,0,31,0.0,1401/05
8943,514711,18.39,0,0.0,13256.2,46030.0,31,31,100.0,1401/05
8973,514702,,0,0.0,,,0,31,0.0,1401/05
8985,222222,,0,0.0,,0.0,31,31,100.0,1401/05
9022,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/05
9053,زندان مرکزی,1.84,0,0.0,665.7,31.504,31,31,100.0,1401/05
9054,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/05
9096,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/05
9599,517048,13.81,0,0.0,63537.4,18659.9,31,31,100.0,1401/05
9600,517048,,0,0.0,,,0,31,0.0,1401/05
9608,222222,4.7,0,0.0,12683.8,12552.71,31,31,100.0,1401/05
9671,517227,15.73,0,0.0,16551.3,30562.6,31,31,100.0,1401/05
9672,517227,15.73,0,0.0,15192.9,30485.14,31,31,100.0,1401/05
9739,111111,6.69,0,0.0,485.2,279.705,31,31,100.0,1401/05
9741,111111,8.67,0,0.0,96186.6,13303.2,31,31,100.0,1401/05
9742,111111,9.13,0,0.0,173452.7,20606.9,31,31,100.0,1401/05
9743,111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/05
9744,111111,3.16,0,0.0,86802.4,6535.98,31,31,100.0,1401/05
9745,111111,0.38,0,0.0,9693.0,42.358,31,31,100.0,1401/05
9897,541280,,0,0.0,,,0,31,0.0,1401/05
9898,541280,,0,0.0,,,0,31,0.0,1401/05
9942,516377,,0,0.0,,,0,31,0.0,1401/05
9974,516377,,0,0.0,,0.0,31,31,100.0,1401/05
10132,529179,22.54,0,0.0,32682.9,56424.6,31,31,100.0,1401/05
10520,514564,,0,0.0,,,0,31,0.0,1401/05
10609,111111,,0,0.0,,,0,31,0.0,1401/05
10627,514564,12.05,0,0.0,70835.9,21290.2,31,31,100.0,1401/05
10966,514702,,0,0.0,,,0,31,0.0,1401/05
11006,529179,,0,0.0,,,0,31,0.0,1401/05
11160,514711,,0,0.0,,,0,31,0.0,1401/06
11161,514711,18.07,0,0.0,26676.6,46529.6,31,31,100.0,1401/06
11191,514702,,0,0.0,,,0,31,0.0,1401/06
11203,222222,,0,0.0,,0.0,31,31,100.0,1401/06
11240,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/06
11271,زندان مرکزی,2.36,0,0.0,1974.9,223.124,31,31,100.0,1401/06
11272,زندان مرکزی,,0,0.0,,,0,31,0.0,1401/06
11314,چاه شماره 13,,0,0.0,,,0,31,0.0,1401/06
11817,517048,14.08,0,0.0,85173.9,18737.7,31,31,100.0,1401/06
11818,517048,,0,0.0,,,0,31,0.0,1401/06
11826,222222,3.41,0,0.0,37343.3,8802.09,31,31,100.0,1401/06
11889,517227,15.35,0,0.0,15665.4,29489.9,31,31,100.0,1401/06
11890,517227,15.33,0,0.0,12475.7,29454.0,31,31,100.0,1401/06
11957,111111,6.16,0,0.0,530.0,284.067,31,31,100.0,1401/06
11959,111111,9.01,0,0.0,117818.3,11425.2,31,31,100.0,1401/06
11960,111111,9.45,0,0.0,161338.7,23107.7,31,31,100.0,1401/06
11961,111111,,0,0.0,0.0,-1567.0,31,31,100.0,1401/06
11962,111111,3.18,0,0.0,100358.0,6736.34,31,31,100.0,1401/06
11963,111111,0.4,0,0.0,4159.7,6.407,23,31,74.19,1401/06
12115,541280,,0,0.0,,,0,31,0.0,1401/06
12116,541280,,0,0.0,,,0,31,0.0,1401/06
12160,516377,,0,0.0,,,0,31,0.0,1401/06
12192,516377,,0,0.0,,0.0,31,31,100.0,1401/06
12350,529179,22.67,0,0.0,39916.3,56814.3,31,31,100.0,1401/06
12738,514564,,0,0.0,,,0,31,0.0,1401/06
12827,111111,,0,0.0,,,0,31,0.0,1401/06
12845,514564,12.04,0,0.0,32956.9,5502.6,31,31,100.0,1401/06
13184,514702,,0,0.0,,,0,31,0.0,1401/06
13224,529179,,0,0.0,,,0,31,0.0,1401/06
13378,514711,,0,0.0,,,0,30,0.0,1401/07
13379,514711,17.68,0,0.0,6301.4,11292.0,30,30,100.0,1401/07
13409,514702,,0,0.0,,,0,30,0.0,1401/07
13421,222222,,0,0.0,,0.0,30,30,100.0,1401/07
13458,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/07
13489,زندان مرکزی,2.64,0,0.0,2483.6,238.208,30,30,100.0,1401/07
13490,زندان مرکزی,,0,0.0,,,0,30,0.0,1401/07
13532,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/07
14035,517048,13.35,0,0.0,80678.5,14551.3,30,30,100.0,1401/07
14036,517048,,0,0.0,,,0,30,0.0,1401/07
14044,222222,3.39,0,0.0,55618.1,8725.46,30,30,100.0,1401/07
14107,517227,15.26,0,0.0,32206.5,19239.1,30,30,100.0,1401/07
14108,517227,15.26,0,0.0,29215.7,19230.4,30,30,100.0,1401/07
14175,111111,6.47,0,0.0,850.5,307.842,30,30,100.0,1401/07
14177,111111,8.68,0,0.0,94845.9,12930.4,30,30,100.0,1401/07
14178,111111,9.48,0,0.0,176596.5,20466.1,30,30,100.0,1401/07
14179,111111,,0,0.0,0.0,-1516.5,30,30,100.0,1401/07
14180,111111,3.16,0,0.0,120246.0,5955.24,30,30,100.0,1401/07
14181,111111,0.4,0,0.0,,19.164,30,30,100.0,1401/07
14333,541280,,0,0.0,,,0,30,0.0,1401/07
14334,541280,,0,0.0,,,0,30,0.0,1401/07
14378,516377,,0,0.0,,,0,30,0.0,1401/07
14410,516377,,0,0.0,,0.0,30,30,100.0,1401/07
14568,529179,22.4,0,0.0,34611.6,38552.5,30,30,100.0,1401/07
14956,514564,,0,0.0,,,0,30,0.0,1401/07
15045,111111,,0,0.0,,,0,30,0.0,1401/07
15063,514564,11.65,0,0.0,13820.2,10505.3,30,30,100.0,1401/07
15402,514702,,0,0.0,,,0,30,0.0,1401/07
15442,529179,,0,0.0,,,0,30,0.0,1401/07
15596,514711,,0,0.0,,,0,30,0.0,1401/08
15597,514711,17.94,0,0.0,64686.7,38345.3,30,30,100.0,1401/08
15627,514702,,0,0.0,,,0,30,0.0,1401/08
15639,222222,,0,0.0,,0.0,30,30,100.0,1401/08
15676,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/08
15707,زندان مرکزی,2.81,0,0.0,,42.976,30,30,100.0,1401/08
15708,زندان مرکزی,,0,0.0,,,0,30,0.0,1401/08
15750,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/08
16253,517048,13.25,0,0.0,56394.6,12032.9,29,30,96.67,1401/08
16254,517048,,0,0.0,,,0,30,0.0,1401/08
16262,222222,3.11,0,0.0,48665.1,8050.84,30,30,100.0,1401/08
16325,517227,16.12,0,0.0,27366.4,5271.4,30,30,100.0,1401/08
16326,517227,16.1,0,0.0,27307.5,5267.3,30,30,100.0,1401/08
16393,111111,6.3,0,0.0,2075.2,359.491,30,30,100.0,1401/08
16395,111111,9.57,0,0.0,119842.9,15814.5,30,30,100.0,1401/08
16396,111111,8.75,0,0.0,154911.4,11931.3,30,30,100.0,1401/08
16397,111111,,0,0.0,0.0,-1516.4,30,30,100.0,1401/08
16398,111111,3.25,0,0.0,94745.7,5264.0,30,30,100.0,1401/08
16399,111111,,0,0.0,,0.257,30,30,100.0,1401/08
16551,541280,,0,0.0,,,0,30,0.0,1401/08
16552,541280,,0,0.0,,,0,30,0.0,1401/08
16596,516377,,0,0.0,,,0,30,0.0,1401/08
16628,516377,,0,0.0,,0.0,30,30,100.0,1401/08
16786,529179,21.81,0,0.0,49567.6,43289.0,30,30,100.0,1401/08
17174,514564,,0,0.0,,,0,30,0.0,1401/08
17263,111111,,0,0.0,,,0,30,0.0,1401/08
17281,514564,11.49,0,0.0,36015.8,5629.4,30,30,100.0,1401/08
17620,514702,,0,0.0,,,0,30,0.0,1401/08
17660,529179,,0,0.0,,,0,30,0.0,1401/08
17814,514711,,0,0.0,,,0,30,0.0,1401/09
17815,514711,13.28,0,0.0,67223.6,20750.2,30,30,100.0,1401/09
17845,514702,,0,0.0,,,0,30,0.0,1401/09
17857,222222,,0,0.0,,0.0,30,30,100.0,1401/09
17894,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/09
17925,زندان مرکزی,2.09,0,0.0,73.6,84.346,30,30,100.0,1401/09
17926,زندان مرکزی,,0,0.0,,,0,30,0.0,1401/09
17968,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/09
18471,517048,13.19,0,0.0,59021.4,12251.7,30,30,100.0,1401/09
18472,517048,,0,0.0,,,0,30,0.0,1401/09
18480,222222,3.47,0,0.0,62727.2,9023.06,30,30,100.0,1401/09
18543,517227,16.51,0,0.0,5862.4,2011.0,30,30,100.0,1401/09
18544,517227,16.51,0,0.0,5856.7,1986.7,30,30,100.0,1401/09
18611,111111,5.8,0,0.0,1576.3,271.596,30,30,100.0,1401/09
18613,111111,7.54,0,0.0,166321.0,11661.2,30,30,100.0,1401/09
18614,111111,8.72,0,0.0,202188.0,15343.1,30,30,100.0,1401/09
18615,111111,,0,0.0,0.0,-1516.5,30,30,100.0,1401/09
18616,111111,3.09,0,0.0,122070.2,4117.2,30,30,100.0,1401/09
18617,111111,,0,0.0,,0.227,30,30,100.0,1401/09
18769,541280,,0,0.0,,,0,30,0.0,1401/09
18770,541280,,0,0.0,,,0,30,0.0,1401/09
18814,516377,,0,0.0,,,0,30,0.0,1401/09
18846,516377,,0,0.0,,0.0,30,30,100.0,1401/09
19004,529179,24.2,0,0.0,47735.4,20167.0,30,30,100.0,1401/09
19392,514564,,0,0.0,,,0,30,0.0,1401/09
19481,111111,,0,0.0,,,0,30,0.0,1401/09
19499,514564,10.19,0,0.0,98733.1,482871.7,30,30,100.0,1401/09
19838,514702,,0,0.0,,,0,30,0.0,1401/09
19878,529179,,0,0.0,,,0,30,0.0,1401/09
20032,514711,,0,0.0,,,0,30,0.0,1401/10
20033,514711,,0,0.0,,0.0,30,30,100.0,1401/10
20063,514702,22.89,0,0.0,109030.3,27584.4,30,30,100.0,1401/10
20075,222222,,0,0.0,,0.0,30,30,100.0,1401/10
20112,چاه شماره 13,32.02,0,0.0,114318.4,1210268.0,30,30,100.0,1401/10
20143,زندان مرکزی,3.02,0,0.0,532.5,26.778,30,30,100.0,1401/10
20144,زندان مرکزی,,0,0.0,,,0,30,0.0,1401/10
20186,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/10
20689,517048,13.14,0,0.0,76057.5,10941.8,30,30,100.0,1401/10
20690,517048,,0,0.0,,,0,30,0.0,1401/10
20698,222222,3.77,0,0.0,71300.5,9787.62,30,30,100.0,1401/10
20761,517227,15.43,0,0.0,12325.1,1348.0,30,30,100.0,1401/10
20762,517227,16.07,0,0.0,6199.0,1215.4,30,30,100.0,1401/10
20829,111111,5.62,0,0.0,1190.0,206.939,30,30,100.0,1401/10
20831,111111,9.37,0,0.0,79324.8,5276.7,30,30,100.0,1401/10
20832,111111,8.7,0,0.0,154047.3,13662.0,30,30,100.0,1401/10
20833,111111,,0,0.0,0.0,-1516.4,30,30,100.0,1401/10
20834,111111,2.87,0,0.0,67802.1,3248.3,30,30,100.0,1401/10
20835,111111,,0,0.0,,0.078,30,30,100.0,1401/10
20987,541280,,0,0.0,,,0,30,0.0,1401/10
20988,541280,,0,0.0,,,0,30,0.0,1401/10
21032,516377,,0,0.0,,,0,30,0.0,1401/10
21064,516377,,0,0.0,,0.0,30,30,100.0,1401/10
21222,529179,29.59,0,0.0,4268.9,10870.7,30,30,100.0,1401/10
21610,514564,,0,0.0,,,0,30,0.0,1401/10
21699,111111,,0,0.0,,,0,30,0.0,1401/10
21717,514564,9.5,0,0.0,69125.8,4785.7,30,30,100.0,1401/10
22056,514702,,0,0.0,,,0,30,0.0,1401/10
22096,529179,,0,0.0,,,0,30,0.0,1401/10
22250,514711,,0,0.0,,,0,30,0.0,1401/11
22251,514711,,0,0.0,,0.0,30,30,100.0,1401/11
22281,514702,22.53,0,0.0,87065.8,44160.5,29,30,96.67,1401/11
22293,222222,,0,0.0,,0.0,30,30,100.0,1401/11
22330,چاه شماره 13,30.75,0,0.0,110468.8,59854.0,30,30,100.0,1401/11
22361,زندان مرکزی,2.72,0,0.0,633.9,76.997,30,30,100.0,1401/11
22362,زندان مرکزی,,0,0.0,,,0,30,0.0,1401/11
22404,چاه شماره 13,,0,0.0,,,0,30,0.0,1401/11
22907,517048,13.06,0,0.0,39821.6,12338.5,30,30,100.0,1401/11
22908,517048,,0,0.0,,,0,30,0.0,1401/11
22916,222222,3.71,0,0.0,93473.7,9633.13,30,30,100.0,1401/11
22979,517227,16.66,0,0.0,9865.4,4076.1,30,30,100.0,1401/11
22980,517227,16.07,0,0.0,11115.9,4016.3,30,30,100.0,1401/11
23047,111111,5.94,0,0.0,2680.6,372.162,25,30,83.33,1401/11
23049,111111,6.98,0,0.0,187778.3,8904.2,30,30,100.0,1401/11
23050,111111,8.74,0,0.0,203239.1,16268.8,30,30,100.0,1401/11
23051,111111,,0,0.0,0.0,-1516.5,30,30,100.0,1401/11
23052,111111,3.16,0,0.0,128819.3,6622.8,30,30,100.0,1401/11
23053,111111,1.42,0,0.0,3789.2,433.02,30,30,100.0,1401/11
23205,541280,,0,0.0,,,0,30,0.0,1401/11
23206,541280,,0,0.0,,,0,30,0.0,1401/11
23250,516377,,0,0.0,,,0,30,0.0,1401/11
23282,516377,,0,0.0,,0.0,30,30,100.0,1401/11
23440,529179,1.3,0,0.0,,-0.4,30,30,100.0,1401/11
23828,514564,,0,0.0,,,0,30,0.0,1401/11
23917,111111,,0,0.0,,,0,30,0.0,1401/11
23935,514564,6.37,0,0.0,230386.3,1449646.7,30,30,100.0,1401/11
24274,514702,,0,0.0,,,0,30,0.0,1401/11
24314,529179,,0,0.0,,,0,30,0.0,1401/11
24468,514711,,0,0.0,,,0,29,0.0,1401/12
24469,514711,21.26,0,0.0,5387.9,40576.0,29,29,100.0,1401/12
24499,514702,22.24,0,0.0,112330.3,42705.3,29,29,100.0,1401/12
24511,222222,,0,0.0,,0.0,29,29,100.0,1401/12
24548,چاه شماره 13,26.18,0,0.0,188229.8,51980.0,29,29,100.0,1401/12
24579,زندان مرکزی,2.65,0,0.0,587.4,61.853,29,29,100.0,1401/12
24580,زندان مرکزی,,0,0.0,,,0,29,0.0,1401/12
24622,چاه شماره 13,,0,0.0,,,0,29,0.0,1401/12
25125,517048,13.09,0,0.0,81371.6,11767.7,29,29,100.0,1401/12
25126,517048,,0,0.0,,,0,29,0.0,1401/12
25134,222222,3.03,0,0.0,110484.1,7387.87,29,29,100.0,1401/12
25197,517227,15.28,0,0.0,35644.0,13844.6,29,29,100.0,1401/12
25198,517227,15.36,0,0.0,38341.3,13891.8,29,29,100.0,1401/12
25265,111111,,0,0.0,,,0,29,0.0,1401/12
25267,111111,9.66,0,0.0,122099.5,13471.8,29,29,100.0,1401/12
25268,111111,7.65,0,0.0,243415.2,14059.9,29,29,100.0,1401/12
25269,111111,,0,0.0,0.0,-1465.9,29,29,100.0,1401/12
25270,111111,3.29,0,0.0,141097.7,6680.6,29,29,100.0,1401/12
25271,111111,1.51,0,0.0,11419.7,2061.184,29,29,100.0,1401/12
25423,541280,,0,0.0,,,0,29,0.0,1401/12
25424,541280,,0,0.0,,,0,29,0.0,1401/12
25468,516377,,0,0.0,,,0,29,0.0,1401/12
25500,516377,,0,0.0,,0.0,29,29,100.0,1401/12
25658,529179,28.63,0,0.0,22448.8,34309.7,29,29,100.0,1401/12
26046,514564,,0,0.0,,,0,29,0.0,1401/12
